Date,NEIXCTAT 
2010-11-24,2369.587
2010-11-25,2371.516
2010-11-26,2346.665
2010-11-29,2353.222
2010-11-30,2359.646
2010-12-01,2385.885
2010-12-02,2402.078
2010-12-03,2418.114
2010-12-06,2424.745
2010-12-07,2409.842
2010-12-08,2392.631
2010-12-09,2398.237
2010-12-10,2398.544
2010-12-13,2423.129
2010-12-14,2425.477
2010-12-15,2414.946
2010-12-16,2414.963
2010-12-17,2426.347
2010-12-20,2438.928
2010-12-21,2465.787
2010-12-22,2473.71
2010-12-23,2479.13
2010-12-24,2477.712
2010-12-27,2474.481
2010-12-28,2486.504
2010-12-29,2491.93
2010-12-30,2478.905
2010-12-31,2493.391
2011-01-03,2500.982
2011-01-04,2463.562
2011-01-05,2460.218
2011-01-06,2454.257
2011-01-07,2446.201
2011-01-10,2449.724
2011-01-11,2459.291
2011-01-12,2484.973
2011-01-13,2472.836
2011-01-14,2466.012
2011-01-17,2467.236
2011-01-18,2481.698
2011-01-19,2469.671
2011-01-20,2426.821
2011-01-21,2439.707
2011-01-24,2449.142
2011-01-25,2427.993
2011-01-26,2457.463
2011-01-27,2467.944
2011-01-28,2449.22
2011-01-31,2464.731
2011-02-01,2508.133
2011-02-02,2513.691
2011-02-03,2502.605
2011-02-04,2502.241
2011-02-07,2507.165
2011-02-08,2515.836
2011-02-09,2521.537
2011-02-10,2505.735
2011-02-11,2496.778
2011-02-14,2509.282
2011-02-15,2498.861
2011-02-16,2514.318
2011-02-17,2524.025
2011-02-18,2529.252
2011-02-21,2521.326
2011-02-22,2472.231
2011-02-23,2471.984
2011-02-24,2468.63
2011-02-25,2490.764
2011-02-28,2510.562
2011-03-01,2513.586
2011-03-02,2524.182
2011-03-03,2541.629
2011-03-04,2545.148
2011-03-07,2523.351
2011-03-08,2511.093
2011-03-09,2511.687
2011-03-10,2470.756
2011-03-11,2463.638
2011-03-14,2445.993
2011-03-15,2356.131
2011-03-16,2345.639
2011-03-17,2374.992
2011-03-18,2388.921
2011-03-21,2401.543
2011-03-22,2400.269
2011-03-23,2395.352
2011-03-24,2402.689
2011-03-25,2384.571
2011-03-28,2372.631
2011-03-29,2376.44
2011-03-30,2383.217
2011-03-31,2408.201
2011-04-01,2418.519
2011-04-04,2423.984
2011-04-05,2433.048
2011-04-06,2452.604
2011-04-07,2449.908
2011-04-08,2485.747
2011-04-11,2471.23
2011-04-12,2426.216
2011-04-13,2433.58
2011-04-14,2435.202
2011-04-15,2445.317
2011-04-18,2392.173
2011-04-19,2407.456
2011-04-20,2456.69
2011-04-21,2466.674
2011-04-22,2466.524
2011-04-25,2468.816
2011-04-26,2478.789
2011-04-27,2491.691
2011-04-28,2503.655
2011-04-29,2522.374
2011-05-02,2519.002
2011-05-03,2495.735
2011-05-04,2465.819
2011-05-05,2380.416
2011-05-06,2374.548
2011-05-09,2394.525
2011-05-10,2410.401
2011-05-11,2374.054
2011-05-12,2365.998
2011-05-13,2351.704
2011-05-16,2346.262
2011-05-17,2340.495
2011-05-18,2350.457
2011-05-19,2361.526
2011-05-20,2359.422
2011-05-23,2333.6
2011-05-24,2340.083
2011-05-25,2342.779
2011-05-26,2364.87
2011-05-27,2381.563
2011-05-30,2382.51
2011-05-31,2396.038
2011-06-01,2396.142
2011-06-02,2392.743
2011-06-03,2399.391
2011-06-06,2389.535
2011-06-07,2393.15
2011-06-08,2389.435
2011-06-09,2389.619
2011-06-10,2378.601
2011-06-13,2376.642
2011-06-14,2362.146
2011-06-15,2341.544
2011-06-16,2351.3
2011-06-17,2356.558
2011-06-20,2353.573
2011-06-21,2356.6
2011-06-22,2363.377
2011-06-23,2355.057
2011-06-24,2353.005
2011-06-27,2345.784
2011-06-28,2331.949
